Date,Forecast_Close,Forecast_Min,Forecast_Max
2025-12-19,3301.917946406975,2931.6454593608796,3672.19043345307
2025-12-20,3311.0351526849845,2937.1111591072986,3684.9591462626704
2025-12-21,3315.7706060558558,2938.9839535057545,3692.557258605957
2025-12-22,3259.1804973264516,2887.575359679613,3630.78563497329
2025-12-23,3282.594548623034,2905.8991925962328,3659.289904649835
2025-12-24,3323.6310630535227,2941.8775873323466,3705.3845387746987
2025-12-25,3331.9191505908966,2949.0764780044556,3714.7618231773376
2025-12-26,3311.457948010837,2932.425054508174,3690.4908415134996
2025-12-27,3307.0688851177692,2929.5219752192497,3684.6157950162888
2025-12-28,3300.668990543585,2922.963119817272,3678.3748612698982
2025-12-29,3272.4767206311226,2896.7657915353775,3648.1876497268677
2025-12-30,3276.037223446692,2899.195426295075,3652.8790205983096
2025-12-31,3279.9859581874625,2901.7730305713485,3658.1988858035766
2026-01-01,3313.753190755844,2929.024359703064,3698.4820218086243
2026-01-02,3308.9264897704124,2922.647365629673,3695.205613911152
2026-01-03,3287.1778867193498,2901.189227232506,3673.1665462061937
2026-01-04,3310.714683830738,2919.5273119211197,3701.9020557403564
2026-01-05,3301.078845894881,2910.461089786986,3691.6966020027758
2026-01-06,3316.6772669553757,2924.693690061569,3708.660843849182
2026-01-07,3366.1991693850723,2970.551361366699,3761.8469774034456
2026-01-08,3400.4258642456407,3003.9771274368686,3796.874601054413
2026-01-09,3352.708470220532,2963.930709442415,3741.4862309986493
2026-01-10,3329.847887456417,2946.1131933927536,3713.5825815200806
2026-01-11,3295.612098455429,2918.6951055526733,3672.529091358185
2026-01-12,3273.7177188415226,2899.975976558606,3647.4594611244393
2026-01-13,3289.4867832075834,2912.3580535435176,3666.615512871649
2026-01-14,3262.7419910480457,2886.6842995709594,3638.799682525132
2026-01-15,3260.1114417809804,2882.807194810346,3637.4156887516147
2026-01-16,3309.382180391345,2931.535741331434,3687.2286194512562
2026-01-17,3333.363467879579,2955.156074545317,3711.5708612138405
2026-01-18,3337.635419997241,2961.4765178489033,3713.794322145579
2026-01-19,3333.588001728058,2959.152808189392,3708.0231952667236
2026-01-20,3350.6526996754983,2975.936635372782,3725.3687639782147
2026-01-21,3383.1410817766737,3005.9824107087334,3760.299752844614
2026-01-22,3297.972020433139,2932.400876750762,3663.5431641155155
2026-01-23,3296.111344049932,2931.53357971253,3660.6891083873343
2026-01-24,3309.405553038305,2944.638457953406,3674.1726481232035
2026-01-25,3289.8233677831595,2927.1864202152065,3652.4603153511125
2026-01-26,3294.8628594875336,2928.486907482147,3661.23881149292
2026-01-27,3293.7515889126516,2925.7012871400802,3661.801890685223
2026-01-28,3279.76647253221,2911.873221835238,3647.6597232291824
2026-01-29,3311.1298426815047,2937.3953757261334,3684.864309636876
2026-01-30,3302.826847787481,2929.7198197438265,3675.933875831135
2026-01-31,3337.0556095917273,2960.3653391498083,3713.7458800336462
2026-02-01,3330.556359881157,2957.2306946308527,3703.882025131461
2026-02-02,3340.5516514699702,2967.676428406354,3713.4268745335867
2026-02-03,3351.331079522686,2978.5918299431505,3724.070329102222
2026-02-04,3371.929440033935,2997.9843380358507,3745.8745420320192
2026-02-05,3410.8844959922862,3033.558826184162,3788.2101658004103
2026-02-06,3480.9769341697684,3096.088746860507,3865.8651214790298
2026-02-07,3522.298828242092,3134.0912010354077,3910.5064554487763
2026-02-08,3498.2137369914562,3112.4279166604974,3883.999557322415
2026-02-09,3546.8608863020345,3154.0591840325797,3939.6625885714893
2026-02-10,3571.9259971260326,3176.914557642187,3966.937436609878
2026-02-11,3576.51029571487,3183.9789229882444,3969.041668441496
2026-02-12,3580.074529566453,3190.048199227662,3970.100859905244
2026-02-13,3577.5512595228065,3189.2314042193757,3965.8711148262373
2026-02-14,3590.6672247509996,3200.4936024628114,3980.840847039188
2026-02-15,3624.7443688978237,3228.1545703061856,4021.334167489462
2026-02-16,3632.5765767702833,3232.78254771122,4032.3706058293465
2026-02-17,3625.2642867458344,3225.200396109023,4025.3281773826457
2026-02-18,3587.0796635287843,3189.3429108113924,3984.8164162461762
2026-02-19,3614.3730971217155,3208.501733660698,4020.244460582733
2026-02-20,3678.1812117124427,3259.237687035711,4097.124736389174
2026-02-21,3709.8393158754334,3284.363795551413,4135.314836199454
2026-02-22,3655.604931766895,3234.688766016683,4076.5210975171067
2026-02-23,3655.558058378898,3232.317328752775,4078.7987880050205
2026-02-24,3688.0144892609096,3257.0674105137005,4118.961568008119
2026-02-25,3726.790757435796,3288.3992099425814,4165.182304929011
2026-02-26,3739.62853813298,3298.0978912024293,4181.1591850635305
2026-02-27,3763.1990610808134,3317.021701782942,4209.376420378685
2026-02-28,3733.894773147913,3290.5766020033043,4177.212944292522
2026-03-01,3770.099437822828,3318.9906341914757,4221.20824145418
2026-03-02,3829.042055785656,3366.0490295886993,4292.035081982613
2026-03-03,3850.864878129709,3382.573329523497,4319.156426735921
2026-03-04,3909.8297261570697,3431.763911133923,4387.895541180216
2026-03-05,3817.858656611279,3349.2626699485118,4286.454643274046
2026-03-06,3853.1463731071126,3376.0899094743363,4330.202836739889
2026-03-07,3974.550571962871,3476.974086315895,4472.127057609847
2026-03-08,3996.54284197971,3495.2524726124248,4497.833211346995
2026-03-09,4024.3607448776893,3520.228587542835,4528.492902212543
2026-03-10,4110.991469625151,3595.4412711958867,4626.541668054415
2026-03-11,4019.314708262973,3520.757253173506,4517.87216335244
2026-03-12,4146.333912087182,3632.309909631178,4660.357914543187
2026-03-13,3929.892448617553,3450.534239452594,4409.250657782512
2026-03-14,3911.4654410631774,3439.3732289253676,4383.557653200987
2026-03-15,4003.2733389884233,3518.341282814741,4488.205395162106
2026-03-16,4004.737996126263,3518.6864113915362,4490.78958086099
2026-03-17,3901.133088222414,3432.353177128767,4369.91299931606
2026-03-18,3877.2567515117407,3414.006684377964,4340.506818645517
2026-03-19,3899.363755884333,3435.7648322389286,4362.962679529737
2026-03-20,3919.3072470970947,3455.0119261715736,4383.602568022616
2026-03-21,3903.007838320198,3444.7033980114065,4361.31227862899
2026-03-22,3919.3794818776078,3462.333977617789,4376.4249861374265
2026-03-23,3867.8642359982114,3423.981716226248,4311.746755770175
2026-03-24,3896.4187429688027,3451.7101015573135,4341.127384380292
2026-03-25,3891.6797259698797,3449.6546329549165,4333.704818984843
2026-03-26,3899.8735294742655,3459.119803710695,4340.627255237836
2026-03-27,3991.5701156565046,3545.993584770302,4437.1466465427075
2026-03-28,3971.7784742911463,3531.9727307946887,4411.584217787604
2026-03-29,4049.3959458829777,3602.9536671147216,4495.838224651234
2026-03-30,4020.0075341646443,3577.464126222243,4462.550942107046
2026-03-31,3928.3531269175,3494.1881946413196,4362.5180591936805
2026-04-01,3918.7509055546834,3481.236172317731,4356.265638791636
2026-04-02,3918.9157572734257,3476.7868348061165,4361.044679740735
2026-04-03,3935.1865737426633,3484.2570245576644,4386.116122927662
2026-04-04,3915.620586723089,3461.05302298069,4370.188150465488
2026-04-05,3935.3376989189564,3472.895902772696,4397.779495065217
2026-04-06,3948.612934382094,3479.128403428447,4418.097465335741
2026-04-07,3989.6961186912667,3508.771139056713,4470.621098325821
2026-04-08,4008.4152103814995,3521.8932206812315,4494.9372000817675
2026-04-09,4049.5596762167406,3556.144634018303,4542.974718415178
2026-04-10,4055.761231617187,3561.6972509120824,4549.825212322292
2026-04-11,3998.984460441934,3515.1778540994565,4482.791066784412
