Date,Forecast_Close,Forecast_Min,Forecast_Max
2025-12-25,4442.070964225115,4390.976210965972,4493.165717484258
2025-12-26,4475.334841519781,4425.458578542675,4525.211104496886
2025-12-27,4562.1948995207895,4509.760843543532,4614.629226342107
2025-12-28,4497.207761155572,4443.349099562891,4551.066154635981
2025-12-29,4439.153503290715,4384.67276366029,4493.633977193841
2025-12-30,4542.700064026067,4464.14728710784,4621.252585846086
2025-12-31,4544.465739330418,4449.03601943993,4639.89521475179
2026-01-01,4549.636098234685,4440.537274244528,4658.734688384819
2026-01-02,4534.100733103868,4420.510226119588,4647.691016877217
2026-01-03,4591.513908679639,4470.948175204307,4712.079429573131
2026-01-04,4567.799133342872,4448.7829227449165,4686.815141988079
2026-01-05,4583.885944796472,4464.826688629436,4702.945009639854
2026-01-06,4685.441964003419,4550.1326557439725,4820.751091568303
2026-01-07,4724.506874160155,4575.482879884184,4873.530698370657
2026-01-08,4718.627234491548,4564.290845873581,4872.963463673135
2026-01-09,4699.813820183703,4540.8775744614695,4858.749917098648
2026-01-10,4672.109954308928,4509.385852367015,4834.833918072644
2026-01-11,4602.9271611945605,4437.432261576044,4768.421933263973
2026-01-12,4604.102458426956,4433.572213570336,4774.632586363565
2026-01-13,4540.373111016856,4366.628781190583,4714.117334552208
2026-01-14,4628.240308254897,4447.095507086369,4809.385013761597
2026-01-15,4600.406265859119,4414.483714127779,4786.328732557723
2026-01-16,4575.398490265266,4385.165638318204,4765.631267808685
2026-01-17,4532.700963219655,4338.057661922172,4727.3442007425865
2026-01-18,4561.459587389803,4360.091188161104,4762.827933473043
2026-01-19,4508.320039611501,4303.010464617217,4713.629572089417
2026-01-20,4494.381714168923,4283.424849229047,4705.338547221524
2026-01-21,4564.477730139199,4346.048829819176,4782.906609201038
2026-01-22,4569.798816669012,4346.504638906598,4793.092983802334
2026-01-23,4538.821972577993,4311.96196448995,4765.681980666035
2026-01-24,4416.813431639292,3511.5586192011415,5322.068244077443
2026-01-25,4426.172213414566,3520.807427982319,5331.536998846812
2026-01-26,4444.843660874396,3535.9831017445426,5353.704220004249
2026-01-27,4421.140701437282,3519.393714003168,5322.887688871395
2026-01-28,4419.933828611414,3509.4598585420426,5330.407798680786
2026-01-29,4426.015598693964,3515.4507334888526,5336.580463899077
2026-01-30,4390.421641031695,3484.1747978037906,5296.6684842596
2026-01-31,4441.960275189009,3522.3285021876554,5361.592048190363
2026-02-01,4429.443799373268,3510.9015822946667,5347.98601645187
2026-02-02,4462.971774113311,3527.9219066070573,5398.0216416195635
2026-02-03,4471.696751020749,3545.9515624243386,5397.441939617159
2026-02-04,4484.389106604671,3558.679803212582,5410.098409996759
2026-02-05,4502.04396497153,3579.015195624516,5425.072734318544
2026-02-06,4521.559005151355,3595.230649683335,5447.8873606193765
2026-02-07,4564.9439579901245,3633.7292140661807,5496.158701914069
2026-02-08,4689.864692007752,3742.464300458676,5637.265083556827
2026-02-09,4738.99129999014,3786.7960550112966,5691.186544968982
2026-02-10,4694.981662955318,3766.4712328774003,5623.4920930332355
2026-02-11,4773.400946487214,3837.4743968748708,5709.327496099559
2026-02-12,4812.5465710653,3875.4675745793543,5749.625567551246
2026-02-13,4842.070256546783,3908.2859578823172,5775.854555211248
2026-02-14,4858.208447704127,3927.050317427946,5789.366577980309
2026-02-15,4852.215487726007,3918.0430675257526,5786.387907926262
2026-02-16,4880.512220918885,3933.549345488394,5827.475096349376
2026-02-17,4937.260188375174,3970.1968414354137,5904.323535314935
2026-02-18,4930.042663727861,3946.0522957249946,5914.033031730727
2026-02-19,4941.5295198922195,3953.174076611641,5929.884963172798
2026-02-20,4892.552268458949,3908.503042976055,5876.601493941842
2026-02-21,4952.056974555193,3949.162749835239,5954.951199275147
2026-02-22,5049.280752247818,4011.739296480169,6086.8222080154665
2026-02-23,5098.175000388666,4048.7519256700925,6147.59807510724
2026-02-24,5014.0895707010495,3990.4198499746467,6037.759291427453
2026-02-25,5043.149070790605,4026.4641928801802,6059.83394870103
2026-02-26,5079.382790736079,4045.8438627797354,6112.921718692423
2026-02-27,5137.116025479611,4091.344950222793,6182.88710073643
