Date,Forecast_Close,Forecast_Min,Forecast_Max
2025-11-27,4196.39990234375,4196.39990234375,4196.39990234375
2025-11-28,4194.458937161162,4194.458937161162,4199.353385943038
2025-11-29,4202.306869542327,4192.517971978573,4202.306869542327
2025-11-30,4205.260353141615,4190.577006795985,4205.260353141615
2025-12-01,4193.511933183037,4188.636041613397,4208.213836740903
2025-12-02,4194.018536869116,4186.695076430808,4211.167320340192
2025-12-03,4214.1208039394805,4184.7541112482195,4214.1208039394805
2025-12-04,4216.046031914562,4182.813146065631,4217.074287538769
2025-12-05,4190.599464674098,4180.872180883042,4220.027771138058
2025-12-06,4212.340229788499,4178.931215700454,4222.981254737346
2025-12-07,4191.739064622937,4176.990250517866,4225.934738336634
2025-12-08,4192.196812173595,4175.049285335277,4228.888221935923
2025-12-09,4207.551865107803,4173.108320152689,4231.841705535211
2025-12-10,4171.167354970101,4171.167354970101,4234.795189134499
2025-12-11,4169.226389787512,4169.226389787512,4237.748672733788
2025-12-12,4192.19587380502,4167.285424604924,4240.702156333076
2025-12-13,4183.24882760504,4165.344459422336,4243.6556399323645
2025-12-14,4211.599846264772,4163.403494239747,4246.609123531653
2025-12-15,4186.460407384835,4161.4625290571585,4249.562607130942
2025-12-16,4176.385871730584,4159.52156387457,4252.51609073023
2025-12-17,4237.277328264613,4157.580598691981,4255.469574329518
2025-12-18,4202.294107492534,4155.639633509393,4258.423057928807
2025-12-19,4208.954481685239,4153.698668326805,4261.376541528095
2025-12-20,4178.149798388346,4151.757703144216,4264.330025127383
2025-12-21,4197.127885283974,4149.816737961628,4267.283508726672
2025-12-22,4211.38376027563,4147.87577277904,4270.23699232596
2025-12-23,4185.412495081384,4145.934807596451,4273.190475925248
2025-12-24,4217.951796606682,4143.993842413863,4276.143959524537
2025-12-25,4197.972559478954,4142.052877231275,4279.0974431238255
2025-12-26,4204.961101270165,4140.111912048686,4282.050926723114
2025-12-27,4198.962670750255,4138.170946866097,4285.004410322403
2025-12-28,4250.958437765534,4136.229981683508,4287.957893921691
2025-12-29,4212.3169982480895,4134.28901650092,4290.911377520979
2025-12-30,4190.913566024407,4132.348051318332,4293.864861120268
2025-12-31,4230.871352371766,4130.407086135743,4296.818344719556
2026-01-01,4188.503233768422,4128.466120953155,4299.771828318844
2026-01-02,4219.007609692756,4126.525155770567,4302.725311918133
2026-01-03,4174.013695470324,4124.584190587978,4305.678795517421
2026-01-04,4187.7697532315915,4122.64322540539,4308.6322791167095
2026-01-05,4220.274553824282,4120.702260222802,4311.5857627159985
2026-01-06,4232.144776098635,4118.761295040213,4314.539246315287
2026-01-07,4220.752179078352,4116.8203298576245,4317.492729914575
2026-01-08,4215.236256889849,4114.879364675036,4320.446213513864
2026-01-09,4211.851290708969,4112.938399492447,4323.399697113152
2026-01-10,4187.652959831195,4110.997434309859,4326.35318071244
2026-01-11,4204.077795890448,4109.056469127271,4329.306664311729
2026-01-12,4210.022703460493,4107.115503944682,4332.260147911017
2026-01-13,4242.374623170552,4105.174538762094,4335.213631510305
2026-01-14,4227.9101431284935,4103.233573579506,4338.167115109593
2026-01-15,4184.214495873938,4101.292608396917,4341.120598708882
2026-01-16,4228.512792448848,4099.351643214329,4344.074082308171
2026-01-17,4214.139325749933,4097.410678031741,4347.027565907459
2026-01-18,4208.522204098059,4095.469712849152,4349.981049506748
2026-01-19,4236.065831980089,4093.5287476665635,4352.934533106036
2026-01-20,4245.370331072242,4091.587782483975,4355.888016705324
2026-01-21,4243.784277807569,4089.646817301387,4358.841500304613
2026-01-22,4207.141956348867,4087.7058521187982,4361.794983903901
2026-01-23,4218.768783300572,4085.7648869362097,4364.748467503189
2026-01-24,4232.71350558401,4083.8239217536216,4367.701951102478
2026-01-25,4246.738083017341,4081.882956571033,4370.655434701766
